Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Beta","Alpha","Net Profit Margin","PB Ratio"
Power Finance Corporation Ltd,PFC,"Specialized Finance","32182.59236352","119.9","2.7394499548869873","0.885438455798143","-6.94177655490845","16.38315779197914","0.3934771242723919"
Oracle Financial Services Software Ltd,OFSS,"Software Services","32021.14241682","3625.25","18.174623645931007","0.66720940137806","-6.49531771381141","34.43883883805618","4.675458865872266"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","31957.501874839996","212.75","10.872746220894589","0.734379948015627","-7.52693920277552","11.133063216381554","2.7066801509998384"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","31898.922463875002","2365.35","41.11692613381497","1.03359775786657","68.8013080012408","17.707422733590946","13.593387366618375"
Max Financial Services Ltd,MFSL,"Insurance","31303.635303555","884.4","73.58981452714059","1.02563955064796","19.2544210852511","1.3595619026068093","8.683297634299496"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","31225.10056765","653","52.54451009263619","0.785504082557531","-1.35413253345935","3.0524901325454454","7.408951590493316"
Minda Industries Ltd,MINDAIND,"Auto Parts","30935.54996471","1060.1","149.71470727730707","1.10576838792597","35.3618272296342","3.2172829894900783","12.069960423527718"
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","30535.97109574","164","-15.29329595267167","0.958263054171362","169.917081368704","-186.99801453510153","-1.8256010718146558"
Trident Ltd,TRIDENT,"Textiles","30513.443644035004","62.3","100.24456665473592","0.962007809998321","77.9590091462231","6.6938770124623534","9.167821496741603"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","30318.93392","23.05","6.865514053060151",,,"28.001770353677607","0.8442236703357714"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","30130.334304419997","123.65","26.745907206508353","1.64424144510065","3.0850611341118","5.764655854845351","1.9786893843093578"
